TotalCharges,MonthlyCharges,SeniorCitizen,tenure,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
254.5,20.45,0,13,0,1,1,1,0,2,1,1,1,1,1,1,0,1,3,0
6392.85,92.2,0,68,1,1,1,1,2,0,2,2,2,2,2,2,2,1,1,0
188.1,80.55,0,2,0,0,1,1,2,1,2,0,0,0,0,0,0,0,1,0
5468.45,76.8,0,72,0,1,1,1,2,0,0,0,2,0,2,2,2,1,0,0
4719.75,64.8,0,72,1,1,1,0,1,0,2,2,2,2,2,2,2,1,1,0
477.55,69.2,0,7,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1189.9,19.95,0,60,1,0,1,1,0,2,1,1,1,1,1,1,2,0,3,0
52.0,19.85,0,2,0,1,0,1,0,2,1,1,1,1,1,1,0,0,0,0
624.6,80.0,0,8,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0
5193.2,84.5,0,62,0,0,0,1,2,0,0,2,2,2,2,2,2,0,0,0
19.0,19.0,0,1,0,1,1,1,0,2,1,1,1,1,1,1,0,1,3,0
4861.45,79.85,0,63,0,0,0,1,2,0,2,2,2,2,2,0,2,1,1,0
1529.2,96.15,1,16,0,0,0,1,2,1,0,0,0,0,2,2,0,1,2,1
7344.45,109.7,0,67,0,1,0,1,2,1,0,2,2,2,2,2,1,1,1,0
83.75,20.7,0,4,1,0,0,1,0,2,1,1,1,1,1,1,0,1,1,0
1527.5,50.4,1,30,1,1,0,1,0,0,0,2,0,0,0,0,0,1,0,1
867.3,18.85,0,45,1,0,0,1,0,2,1,1,1,1,1,1,1,0,0,0
5348.65,88.75,1,59,0,1,1,1,2,1,0,0,2,0,0,2,0,1,1,0
2658.4,72.1,0,37,0,1,0,1,2,0,0,2,0,2,0,2,1,0,3,0
809.75,90.8,0,9,0,0,0,1,0,1,0,0,0,0,2,2,0,1,0,1
21.1,21.1,0,1,1,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0
5589.3,80.35,1,68,1,1,0,1,2,1,0,0,2,0,0,0,0,1,1,0
6549.45,99.25,0,64,1,0,0,1,2,1,2,0,2,2,0,2,2,0,1,0
5727.15,80.4,0,71,1,1,0,1,2,0,2,2,2,2,0,2,2,0,1,0
1336.1,25.55,0,53,1,1,1,1,2,2,1,1,1,1,1,1,2,0,1,0
68.5,68.5,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,1
958.45,25.45,0,39,1,0,1,1,2,2,1,1,1,1,1,1,1,0,0,0
1534.05,25.45,0,59,0,1,1,1,2,2,1,1,1,1,1,1,2,0,3,0
4914.9,94.4,0,50,1,1,0,1,2,1,2,2,0,0,0,2,0,1,1,0
19.75,19.75,0,1,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,0
79.8,25.1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
475.0,64.2,1,7,1,1,0,1,2,0,2,2,0,2,0,0,0,0,2,0
20.0,20.0,0,1,1,0,0,1,0,2,1,1,1,1,1,1,0,0,3,1
3994.45,103.45,0,39,0,0,0,1,2,1,0,2,2,0,2,2,0,1,2,1
2095.0,100.75,0,22,1,0,0,1,2,1,2,0,0,0,2,2,0,1,2,1
7920.7,109.55,1,72,1,1,0,1,2,1,2,2,2,0,2,2,2,1,0,0
3334.95,63.9,0,52,1,0,0,0,1,0,2,2,2,2,2,2,2,0,1,0
519.15,84.2,1,6,1,1,0,1,0,1,0,2,0,0,0,2,0,1,2,1
50.8,50.8,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,1
70.05,70.05,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1
7904.25,109.7,1,71,0,1,0,1,0,1,2,2,2,2,2,2,2,1,0,0
48.75,48.75,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,1,3,0
1336.15,49.85,0,27,0,1,1,1,0,0,0,2,0,0,0,0,0,0,3,0
501.35,19.15,0,27,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,0
6287.25,108.85,1,58,1,1,0,1,2,1,2,2,2,0,2,2,1,1,2,1
174.45,79.95,0,2,1,0,0,1,0,1,0,0,0,0,2,0,0,1,2,0
2730.85,73.15,0,39,1,0,0,1,2,1,0,0,0,0,0,0,0,1,1,0
288.05,20.0,0,15,1,1,1,1,0,2,1,1,1,1,1,1,0,1,2,1
156.35,86.85,1,2,1,1,0,1,2,1,0,0,0,0,2,0,0,1,3,1
2509.95,85.45,0,30,1,1,1,1,2,1,0,0,0,0,2,0,0,0,2,0
527.9,74.4,1,7,1,1,0,1,2,1,0,0,0,0,0,0,0,1,3,1
1901.05,75.5,0,25,1,1,1,1,0,1,0,2,0,0,0,0,0,1,2,0
692.35,39.7,1,14,0,0,0,0,1,0,2,0,2,2,0,0,2,0,3,0
821.6,24.3,0,35,0,1,1,1,2,2,1,1,1,1,1,1,2,0,0,0
1246.4,45.85,0,27,1,1,1,0,1,0,0,2,2,0,0,2,1,1,1,0
3243.45,104.2,0,31,0,1,1,1,2,1,0,0,2,2,2,2,0,1,2,1
3465.05,105.35,1,33,0,0,1,1,2,1,0,2,2,0,2,2,0,1,0,0
4424.2,95.25,1,46,0,0,0,1,0,1,0,2,0,0,2,2,1,0,1,1
980.35,26.1,0,34,1,0,0,1,2,2,1,1,1,1,1,1,2,0,0,0
1388.0,25.65,0,55,0,1,1,1,2,2,1,1,1,1,1,1,2,1,1,0
7677.4,106.85,1,72,0,1,0,1,2,1,2,2,0,0,2,2,1,1,0,0
27.55,19.5,0,2,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0
1395.05,75.6,0,18,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0
349.8,48.8,0,7,0,1,1,1,2,0,0,0,0,0,0,0,0,0,2,0
348.8,63.4,0,6,0,0,0,0,1,0,2,2,2,2,2,2,2,1,3,0
2838.7,94.4,0,30,1,1,1,1,2,1,2,2,0,0,2,0,0,1,2,1
6578.55,104.35,1,65,1,1,0,1,2,1,0,2,2,0,2,2,0,1,2,0
1830.05,24.65,0,72,0,1,0,1,2,2,1,1,1,1,1,1,2,0,0,0
84.75,20.4,0,4,0,0,1,1,0,2,1,1,1,1,1,1,1,1,3,0
109.6,19.95,0,5,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0
914.0,71.0,0,14,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1
39.85,20.7,0,2,0,0,0,1,0,2,1,1,1,1,1,1,0,1,0,0
5129.3,81.3,0,64,0,1,0,1,2,0,2,2,2,2,0,2,2,1,3,0
324.15,24.8,0,15,1,0,1,1,2,2,1,1,1,1,1,1,0,1,2,0
71.35,71.35,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1
3442.8,48.4,0,70,1,0,0,0,1,0,2,0,2,2,0,2,2,0,0,0
6144.55,109.45,0,58,0,1,0,1,2,1,2,2,2,0,2,2,2,1,0,1
3085.35,44.95,0,68,0,0,0,0,1,0,0,2,0,2,0,2,0,0,2,0
1769.6,24.75,0,72,1,1,1,1,2,2,1,1,1,1,1,1,2,0,0,0
4097.05,65.85,0,66,1,1,1,1,0,0,2,2,2,2,0,0,2,0,3,0
327.45,20.25,0,16,1,0,0,1,0,2,1,1,1,1,1,1,0,0,0,1
5706.3,99.9,1,56,0,0,0,1,2,1,0,2,2,2,2,0,2,1,0,0
3545.1,75.45,0,47,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0
1375.4,19.75,0,69,0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,0
450.4,35.4,0,13,0,0,0,0,1,0,0,0,2,2,0,0,2,0,3,0
515.75,19.15,0,26,1,1,1,1,0,2,1,1,1,1,1,1,2,1,1,0
169.75,19.65,0,8,1,1,1,1,0,2,1,1,1,1,1,1,0,0,1,0
216.45,29.35,0,8,1,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0
2038.7,68.95,0,30,0,0,0,1,2,0,0,2,2,0,2,0,1,1,1,0
3141.7,81.85,0,38,1,0,1,1,2,1,0,2,0,0,0,0,0,1,3,0
95.05,31.0,0,3,0,1,1,0,1,0,0,0,0,2,0,0,0,1,3,1
1614.2,80.7,1,20,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0
49.05,49.05,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0
20.35,20.35,0,1,0,1,1,1,0,2,1,1,1,1,1,1,2,0,3,0
1880.85,48.95,0,39,1,0,0,0,1,0,2,2,0,2,2,0,0,1,1,1
1299.8,68.35,0,18,1,0,0,1,0,0,2,0,2,2,2,0,0,1,2,0
3340.55,88.8,0,37,0,1,1,1,2,1,0,2,0,0,2,0,0,1,2,0
38.45,24.3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
2234.95,95.9,0,22,1,1,0,1,2,1,2,0,0,2,2,0,0,0,1,0
979.05,85.15,0,12,0,0,0,1,0,1,2,0,0,0,2,0,1,1,1,0
1120.3,95.0,1,11,0,0,0,1,0,1,0,2,0,0,2,2,0,1,2,1
5714.25,84.0,0,66,1,1,1,1,2,0,2,0,2,2,2,2,2,1,3,0
1049.05,49.8,0,22,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,0
74.2,45.25,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0
3274.35,59.3,0,57,0,1,1,1,0,0,2,0,2,2,0,0,1,1,3,0
2553.7,54.65,0,45,1,1,1,1,0,0,2,0,0,2,0,0,2,0,0,0
293.3,40.1,0,7,0,0,0,0,1,0,0,2,0,0,0,2,0,1,1,1
5336.35,75.1,0,72,1,0,0,1,0,0,2,2,2,2,2,0,2,1,0,0
944.65,69.2,0,14,1,1,1,1,2,0,2,2,0,0,0,2,0,0,3,0
417.7,20.0,0,21,1,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0
2983.8,100.2,0,30,0,0,0,1,2,1,0,2,0,0,2,2,0,1,2,1
19.9,19.9,0,1,1,0,0,1,0,2,1,1,1,1,1,1,0,1,3,0
1082.75,39.5,0,29,0,0,0,0,1,0,2,2,0,2,0,0,1,0,1,0
245.15,25.2,0,11,0,0,0,1,2,2,1,1,1,1,1,1,1,0,2,0
7209.0,100.2,0,71,1,1,1,1,0,1,2,2,2,2,2,0,2,0,1,0
278.4,43.9,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
5730.15,78.95,0,72,0,1,1,1,2,0,0,2,0,2,2,2,2,1,2,0
3640.45,94.55,1,40,0,1,1,1,2,1,0,0,0,0,2,2,0,1,1,1
3134.7,54.65,0,57,1,0,0,1,0,0,0,2,0,2,0,0,1,1,3,0
1066.15,24.45,0,46,0,1,0,1,2,2,1,1,1,1,1,1,1,1,0,0
69.6,69.6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1
8670.1,117.5,0,72,0,1,1,1,2,1,2,2,2,2,2,2,2,0,1,0
688.5,60.9,0,11,1,0,0,1,0,0,0,2,2,2,0,0,0,1,2,0
191.35,69.35,0,3,1,0,0,1,0,0,0,0,0,2,2,2,0,1,2,1
4386.2,71.0,0,65,0,1,0,1,0,0,2,2,2,0,0,2,2,0,0,0
6273.4,95.3,0,66,1,1,0,1,2,1,0,2,2,0,0,2,1,0,2,0
875.35,55.3,0,16,1,0,0,1,2,0,0,2,0,0,0,0,0,0,2,0
2130.45,61.0,0,35,1,1,0,1,0,0,2,2,2,0,0,0,0,0,3,0
1442.2,90.8,0,16,1,1,1,1,2,1,0,0,2,0,2,0,0,1,0,0
477.55,83.55,0,6,1,1,1,1,0,1,0,2,0,0,0,2,0,1,1,1
2236.2,54.55,0,40,0,0,0,0,1,0,2,0,0,2,2,2,1,1,0,0
1238.45,99.7,0,12,0,0,0,1,2,1,2,2,2,0,0,2,0,1,0,1
201.0,48.55,0,4,1,1,0,0,1,0,0,2,0,0,2,2,0,1,2,1
4222.95,100.3,0,42,1,0,0,1,2,1,0,0,0,2,2,2,0,1,2,0
5794.65,104.55,1,56,1,1,1,1,2,1,2,0,2,0,2,2,1,1,0,1
1305.95,20.55,0,61,1,1,1,1,0,2,1,1,1,1,1,1,2,0,1,0
606.55,74.5,1,8,1,0,0,1,0,1,0,2,0,0,0,0,0,1,2,1
6563.4,90.35,0,72,0,1,1,1,2,1,2,2,0,2,0,0,2,1,0,0
562.7,69.95,1,8,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
94.45,19.7,0,6,0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,0
1457.25,101.25,0,15,0,0,0,1,0,1,0,2,2,0,2,2,0,1,2,1
368.1,90.05,0,4,1,0,0,1,2,1,0,2,0,0,0,2,0,1,2,1
19.75,19.75,0,1,1,0,0,1,0,2,1,1,1,1,1,1,0,0,3,1
237.2,65.55,0,4,1,0,0,1,2,0,0,0,0,2,0,2,0,0,3,0
84.6,84.6,0,1,0,0,0,1,2,1,0,0,0,0,2,0,0,1,2,0
91.1,49.05,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,1
6385.95,90.25,0,70,0,0,0,1,2,1,0,2,2,2,0,0,1,1,0,0
592.75,34.4,0,17,1,1,0,0,1,0,2,0,2,0,0,0,0,0,3,0
325.45,73.75,0,4,0,1,1,1,0,1,0,0,2,0,0,0,0,1,2,1
5044.8,90.45,1,55,0,1,0,1,2,1,0,2,2,2,0,0,0,0,2,0
1725.0,25.1,0,65,1,0,0,1,2,2,1,1,1,1,1,1,2,1,0,0
587.7,19.8,1,32,1,0,0,1,0,2,1,1,1,1,1,1,1,0,1,0
44.0,44.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
4515.85,90.85,1,49,0,0,0,1,2,1,0,0,2,0,0,2,0,1,1,1
2640.55,60.4,0,43,0,1,1,0,1,0,2,0,2,2,2,2,1,1,1,0
564.35,65.5,0,8,0,1,0,1,0,0,2,0,0,2,0,2,2,0,3,0
2215.45,62.15,0,35,0,1,0,1,0,0,2,0,0,0,2,0,1,1,0,0
4451.85,104.3,0,43,1,1,1,1,2,1,0,0,2,2,2,2,1,1,1,0
216.9,49.2,0,5,1,0,0,1,0,0,0,0,0,2,0,0,0,1,2,1
3913.3,70.1,0,57,0,1,1,1,0,0,2,0,0,0,2,2,1,1,0,1
5595.3,85.9,0,66,1,1,0,1,0,0,2,2,2,2,2,2,2,1,0,0
729.95,92.1,1,8,0,0,0,1,0,1,0,0,2,0,2,2,0,1,2,1
416.45,45.15,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
2351.8,91.25,1,26,0,0,0,1,0,1,0,0,0,0,2,2,0,1,2,1
4674.4,101.1,0,46,0,0,0,1,2,1,0,0,2,0,2,2,1,1,2,0
7283.25,106.75,0,71,0,0,0,1,2,1,2,2,2,0,2,2,2,1,1,0
467.85,25.55,0,18,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
134.6,60.95,0,2,1,0,1,1,2,0,2,2,0,0,0,0,0,0,0,0
3355.65,85.05,0,40,1,1,1,1,0,1,0,0,2,0,2,0,1,1,2,0
141.65,70.1,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0
5357.75,73.5,0,71,1,1,0,1,2,0,2,2,0,2,2,0,2,0,1,0
3273.8,75.95,0,45,1,0,0,1,0,0,2,0,2,0,2,2,0,1,2,0
20.15,20.15,0,1,1,0,0,1,0,2,1,1,1,1,1,1,0,0,3,1
1219.85,85.3,0,15,1,0,0,1,0,1,0,0,2,0,2,0,0,0,2,0
1937.4,25.7,1,72,0,1,0,1,2,2,1,1,1,1,1,1,2,1,1,0
627.4,85.2,0,8,0,1,0,1,2,1,0,0,0,0,0,2,0,1,1,1
1232.9,51.1,0,22,1,1,1,1,0,0,0,0,0,2,0,0,0,1,2,0
1584.8,25.0,0,64,0,1,0,1,2,2,1,1,1,1,1,1,2,0,1,0
1794.65,101.3,0,18,1,0,0,1,0,1,0,2,2,0,2,2,0,0,1,0
8375.05,114.45,0,72,1,1,0,1,2,1,2,2,2,2,2,2,2,0,1,0
8196.4,114.95,1,72,1,1,1,1,2,1,2,2,2,2,2,2,2,1,0,0
4014.2,63.55,0,63,0,1,1,1,0,0,2,2,2,2,0,0,2,0,3,0
378.6,26.35,0,15,1,0,0,1,2,2,1,1,1,1,1,1,0,1,2,0
4824.45,85.65,1,56,1,1,0,1,0,0,2,2,2,2,2,2,2,1,0,0
1901.65,96.55,0,20,0,1,0,1,0,1,2,2,0,2,2,0,0,1,2,0
1005.7,18.7,0,53,0,0,0,1,0,2,1,1,1,1,1,1,2,0,3,0
365.65,89.6,0,4,0,0,1,1,2,1,0,2,0,0,2,0,0,0,3,1
24.4,24.4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
489.45,85.35,0,6,1,0,0,1,0,1,0,2,0,0,2,0,0,1,2,1
4566.5,65.6,0,72,1,0,0,0,1,0,2,2,2,2,2,2,2,1,0,0
3838.2,54.2,0,67,1,1,1,1,0,0,2,2,0,0,0,0,2,1,0,0
531.6,20.35,0,27,1,0,0,1,0,2,1,1,1,1,1,1,2,0,1,0
409.9,24.1,0,17,0,1,1,1,2,2,1,1,1,1,1,1,0,0,3,1
283.75,19.9,0,14,1,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0
1233.15,45.45,0,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
1899.65,94.55,1,20,1,1,0,1,2,1,0,0,0,0,2,2,0,1,2,1
76.4,76.4,1,1,0,1,0,1,0,1,0,2,0,0,0,0,0,1,3,1
4760.3,66.75,0,72,0,1,1,1,2,0,2,2,0,2,0,0,2,0,1,0
5647.95,109.1,1,52,0,1,0,1,2,1,2,2,2,0,2,2,0,1,2,0
1745.2,84.35,1,20,1,0,0,1,2,1,0,0,0,0,2,0,0,1,2,0
5515.45,99.8,0,56,0,1,1,1,2,1,0,0,2,0,2,2,1,1,1,0
1652.4,66.05,1,26,0,0,0,1,2,0,0,0,0,2,0,2,0,1,2,0
6034.85,100.05,0,59,0,1,0,1,0,1,0,2,0,2,2,2,2,1,3,0
852.7,25.05,0,34,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2745.7,86.15,0,33,0,1,1,1,2,1,0,0,0,0,0,2,0,0,1,1
1284.2,73.85,0,16,1,1,0,1,2,1,0,0,0,0,0,0,0,1,0,1
4808.7,68.15,0,72,1,1,0,1,2,0,2,2,2,2,0,0,2,0,3,0
81.25,44.35,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
7548.6,106.1,0,72,1,1,1,1,2,1,2,2,2,2,2,0,2,1,1,0
573.75,95.75,1,6,1,1,0,1,0,1,0,0,2,0,2,2,0,1,2,1
5073.1,94.45,0,55,0,1,0,1,2,1,0,2,2,0,2,0,0,1,1,0
1425.45,82.0,0,18,1,0,0,1,2,0,0,0,2,2,2,2,1,1,1,1
2962.0,42.1,0,72,1,1,0,0,1,0,2,2,2,0,0,0,2,0,0,0
5560.0,85.3,0,68,0,1,1,1,2,0,0,2,2,2,2,2,2,0,0,0
5588.8,83.85,1,67,1,1,0,1,2,1,2,2,0,0,0,0,0,0,0,0
87.9,46.6,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2254.2,103.9,0,21,0,1,0,1,2,1,2,0,2,0,2,2,0,1,2,1
890.5,19.3,0,47,0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,0
80.0,80.0,0,1,1,1,1,1,0,1,0,0,0,0,0,2,0,0,2,1
235.05,84.3,0,3,1,0,0,1,0,1,0,2,0,0,0,2,0,0,2,0
1008.55,98.55,0,10,1,0,0,1,2,1,2,0,0,0,2,2,0,0,2,1
250.05,80.3,0,3,0,1,1,1,0,1,0,0,0,0,0,2,0,1,2,1
2555.9,85.15,0,30,0,0,0,1,0,1,0,0,0,2,2,0,0,0,2,1
3089.6,98.85,0,32,0,1,1,1,2,1,0,2,0,0,2,2,0,1,2,0
4299.75,84.2,0,51,1,1,1,1,2,1,0,2,0,2,0,0,1,0,0,0
3527.6,100.25,0,35,0,0,0,1,2,1,0,0,2,0,2,2,0,1,2,1
67.1,20.75,0,3,1,0,0,1,0,2,1,1,1,1,1,1,0,1,1,0
4267.15,86.35,0,51,1,0,0,1,0,1,2,0,0,0,2,0,1,0,3,0
7129.45,98.65,0,72,0,1,1,1,2,1,0,2,2,2,0,2,2,1,0,0
2928.5,56.4,0,51,0,0,0,0,1,0,0,2,2,0,2,2,1,1,1,0
319.6,82.85,0,4,0,0,0,1,0,1,0,0,2,0,0,2,0,1,1,0
5762.95,86.45,0,68,0,1,0,1,2,1,0,2,2,0,0,0,1,0,1,0
3183.4,96.2,0,32,1,0,0,1,0,1,0,0,0,2,2,2,0,1,2,1
6129.2,85.3,0,72,0,1,1,1,0,0,2,2,2,2,2,2,2,0,0,0
6597.25,104.8,0,63,1,1,1,1,2,1,0,2,2,0,2,2,2,1,0,0
2560.1,45.05,0,56,0,0,0,0,1,0,2,2,2,2,0,0,2,0,0,0
2344.5,75.25,0,31,1,1,1,1,2,0,2,2,0,2,0,2,1,1,0,0
851.75,85.55,1,10,1,1,0,1,2,1,0,0,0,0,0,2,0,0,2,1
4903.2,108.65,0,46,1,0,0,1,2,1,0,2,2,2,2,2,2,0,2,0
3862.55,84.8,0,44,0,0,0,1,2,1,0,2,2,0,0,0,0,1,0,1
236.4,19.7,0,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,3,0
7555.0,105.15,0,71,0,1,0,1,2,1,0,2,2,0,2,2,2,1,0,0
1482.3,20.7,0,72,0,1,1,1,0,2,1,1,1,1,1,1,2,1,3,0
3827.9,71.85,0,53,1,1,1,1,2,0,2,0,0,2,0,2,0,0,2,0
5763.3,106.55,0,54,0,1,0,1,2,1,2,2,0,0,2,2,1,0,0,1
25.7,25.7,0,1,0,0,0,1,2,2,1,1,1,1,1,1,0,1,2,0
2490.15,69.15,0,35,1,1,1,1,2,0,2,2,2,2,0,0,2,1,1,0
70.6,70.6,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1
825.1,54.55,1,16,1,1,0,1,0,0,2,2,0,0,0,0,0,1,0,0
